genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	start	end	strand	na_length	gene	product	plfam_id	pgfam_id
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	source			1	837556	+	837556				
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.1		31	1203	+	1173		3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	PLF_88723_00000546	PGF_00419420
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.2		1200	1835	+	636		3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	PLF_88723_00000185	PGF_06660812
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.3		2322	2501	+	180		hypothetical protein	PLF_88723_00003495	PGF_02481581
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.4		2521	2673	+	153		hypothetical protein	PLF_88723_00003480	PGF_02481575
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.5		2708	3085	-	378		hypothetical protein	PLF_88723_00005459	PGF_02482207
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.6		3077	4057	+	981		3-isopropylmalate dehydrogenase (EC 1.1.1.85)	PLF_88723_00000431	PGF_07191648
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.7		4129	5367	+	1239		hypothetical protein	PLF_88723_00002824	PGF_04926340
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.8		5451	6536	+	1086		Hydrolase, alpha/beta fold family	PLF_88723_00002769	PGF_06574151
222984.5	Natrinema altunense strain AJ2	JNCS01000001	PATRIC	CDS	fig|222984.5.peg.9		6579	7403	-	825		hypothetical protein	PLF_88723_00001100	PGF_00217518
