genome_id	genome_name	patric_id	refseq_locus_tag	alt_locus_tag	gene	product	property	source	evidence	source_id	organism	function	classification	pmid	query_coverage	subject_coverage	identity	e_value
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.915	G3I44_04390		folP	Dihydropteroate synthase (EC 2.5.1.15)	Antibiotic Resistance	PATRIC	K-mer Search			Dihydropteroate synthase (EC 2.5.1.15)	antibiotic target in susceptible species	15673783				
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.1125	G3I44_05430		GdpD	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	Antibiotic Resistance	PATRIC	K-mer Search			Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)	protein altering cell wall charge conferring antibiotic resistance	21899450				
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.2018	G3I44_09520			Quad-[4Fe-4S] ferredoxin, HycB/HydN/HyfA family	Transporter	TCDB	BLAT	Q9HR73	Halobacterium salinarium (Halobacterium halobium)	the prokaryotic molybdopterin-containing oxidoreductase (pmo) family.	5.A.3.3.3	11016950	82	85	82	1e-118
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.2042	G3I44_09635		Iso-tRNA	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	Antibiotic Resistance	PATRIC	K-mer Search			Isoleucyl-tRNA synthetase (EC 6.1.1.5)	antibiotic target in susceptible species	7929087				
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.2072	G3I44_09780		gyrB	DNA gyrase subunit B (EC 5.99.1.3)	Antibiotic Resistance	PATRIC	K-mer Search			DNA gyrase subunit B (EC 5.99.1.3)	antibiotic target in susceptible species	21693461;22279180;9293187				
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.2073	G3I44_09785		gyrA	DNA gyrase subunit A (EC 5.99.1.3)	Antibiotic Resistance	PATRIC	K-mer Search			DNA gyrase subunit A (EC 5.99.1.3)	antibiotic target in susceptible species	9293187				
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.2274	G3I44_10740		folA, Dfr	Dihydrofolate reductase (EC 1.5.1.3)	Antibiotic Resistance	PATRIC	K-mer Search			Dihydrofolate reductase (EC 1.5.1.3)	antibiotic target in susceptible species	20169085;25288078				
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.2652	G3I44_12570		kasA	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	Antibiotic Resistance	PATRIC	K-mer Search			3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)	antibiotic target in susceptible species	10428945				
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.2679	G3I44_12700		rpl2	LSU ribosomal protein L8e (L2p)	Drug Target	DrugBank	BLAT	P20276	Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809)	Omacetaxine mepesuccinate	Drug target		98	99	86	1e-121
60847.21	Halogeometricum borinquense strain wsp4	fig|60847.21.peg.4049	G3I44_19000		KatG	Catalase-peroxidase KatG (EC 1.11.1.21)	Antibiotic Resistance	PATRIC	K-mer Search			Catalase-peroxidase KatG (EC 1.11.1.21)	antibiotic activation enzyme	14638486				
