# Assembly name:  ASM1296278v1
# Organism name:  Candidatus Micrarchaeota archaeon (archaea)
# Isolate:  UWMA-0176
# Taxid:          2250274
# BioSample:      SAMN10967517
# BioProject:     PRJNA522654
# Submitter:      University of Wisconsin-Madison
# Date:           2020-05-04
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    DTWW01
# Assembly method: SPAdes v. 3.12.0
# Expected final version: yes
# Genome coverage: 25.15x
# Sequencing technology: Illumina HiSeq 2000
# Excluded from RefSeq: derived from metagenome; fragmented assembly; genus undefined
# GenBank assembly accession: GCA_012962785.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_012962815.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
k99_1007562	unplaced-scaffold	na	na	DTWW01000001.1	<>	na	Primary Assembly	2497	na
k99_1017845	unplaced-scaffold	na	na	DTWW01000002.1	<>	na	Primary Assembly	1218	na
k99_1035347	unplaced-scaffold	na	na	DTWW01000003.1	<>	na	Primary Assembly	2179	na
k99_1036764	unplaced-scaffold	na	na	DTWW01000004.1	<>	na	Primary Assembly	1441	na
k99_1037251	unplaced-scaffold	na	na	DTWW01000005.1	<>	na	Primary Assembly	1179	na
k99_1044248	unplaced-scaffold	na	na	DTWW01000006.1	<>	na	Primary Assembly	1336	na
k99_1047986	unplaced-scaffold	na	na	DTWW01000007.1	<>	na	Primary Assembly	1181	na
k99_1050039	unplaced-scaffold	na	na	DTWW01000008.1	<>	na	Primary Assembly	1796	na
k99_1058780	unplaced-scaffold	na	na	DTWW01000009.1	<>	na	Primary Assembly	1423	na
k99_1066089	unplaced-scaffold	na	na	DTWW01000010.1	<>	na	Primary Assembly	1281	na
k99_1067990	unplaced-scaffold	na	na	DTWW01000011.1	<>	na	Primary Assembly	1236	na
k99_1094807	unplaced-scaffold	na	na	DTWW01000012.1	<>	na	Primary Assembly	1499	na
k99_1100050	unplaced-scaffold	na	na	DTWW01000013.1	<>	na	Primary Assembly	1351	na
k99_1100611	unplaced-scaffold	na	na	DTWW01000014.1	<>	na	Primary Assembly	1240	na
k99_1104016	unplaced-scaffold	na	na	DTWW01000015.1	<>	na	Primary Assembly	1128	na
k99_1108239	unplaced-scaffold	na	na	DTWW01000016.1	<>	na	Primary Assembly	1506	na
k99_1115700	unplaced-scaffold	na	na	DTWW01000017.1	<>	na	Primary Assembly	4306	na
k99_1123088	unplaced-scaffold	na	na	DTWW01000018.1	<>	na	Primary Assembly	1036	na
k99_1129304	unplaced-scaffold	na	na	DTWW01000019.1	<>	na	Primary Assembly	1260	na
k99_1129428	unplaced-scaffold	na	na	DTWW01000020.1	<>	na	Primary Assembly	1078	na
k99_1146196	unplaced-scaffold	na	na	DTWW01000021.1	<>	na	Primary Assembly	1784	na
k99_1148075	unplaced-scaffold	na	na	DTWW01000022.1	<>	na	Primary Assembly	1821	na
k99_1151684	unplaced-scaffold	na	na	DTWW01000023.1	<>	na	Primary Assembly	1611	na
k99_1163250	unplaced-scaffold	na	na	DTWW01000024.1	<>	na	Primary Assembly	1149	na
k99_1171441	unplaced-scaffold	na	na	DTWW01000025.1	<>	na	Primary Assembly	1086	na
k99_1181369	unplaced-scaffold	na	na	DTWW01000026.1	<>	na	Primary Assembly	1723	na
k99_1181963	unplaced-scaffold	na	na	DTWW01000027.1	<>	na	Primary Assembly	1895	na
k99_1187985	unplaced-scaffold	na	na	DTWW01000028.1	<>	na	Primary Assembly	1918	na
k99_1191048	unplaced-scaffold	na	na	DTWW01000029.1	<>	na	Primary Assembly	1989	na
k99_1194254	unplaced-scaffold	na	na	DTWW01000030.1	<>	na	Primary Assembly	1152	na
k99_1217562	unplaced-scaffold	na	na	DTWW01000031.1	<>	na	Primary Assembly	1053	na
k99_1218420	unplaced-scaffold	na	na	DTWW01000032.1	<>	na	Primary Assembly	1582	na
k99_1219157	unplaced-scaffold	na	na	DTWW01000033.1	<>	na	Primary Assembly	1445	na
k99_12275	unplaced-scaffold	na	na	DTWW01000034.1	<>	na	Primary Assembly	1122	na
k99_1230687	unplaced-scaffold	na	na	DTWW01000035.1	<>	na	Primary Assembly	1420	na
k99_1233109	unplaced-scaffold	na	na	DTWW01000036.1	<>	na	Primary Assembly	1119	na
k99_1237374	unplaced-scaffold	na	na	DTWW01000037.1	<>	na	Primary Assembly	1040	na
k99_1237801	unplaced-scaffold	na	na	DTWW01000038.1	<>	na	Primary Assembly	1769	na
k99_1251245	unplaced-scaffold	na	na	DTWW01000039.1	<>	na	Primary Assembly	1505	na
k99_1259490	unplaced-scaffold	na	na	DTWW01000040.1	<>	na	Primary Assembly	2465	na
k99_1264585	unplaced-scaffold	na	na	DTWW01000041.1	<>	na	Primary Assembly	1037	na
k99_1264794	unplaced-scaffold	na	na	DTWW01000042.1	<>	na	Primary Assembly	1059	na
k99_1276523	unplaced-scaffold	na	na	DTWW01000043.1	<>	na	Primary Assembly	1419	na
k99_1279722	unplaced-scaffold	na	na	DTWW01000044.1	<>	na	Primary Assembly	1108	na
k99_1282592	unplaced-scaffold	na	na	DTWW01000045.1	<>	na	Primary Assembly	1938	na
k99_1284868	unplaced-scaffold	na	na	DTWW01000046.1	<>	na	Primary Assembly	2478	na
k99_128609	unplaced-scaffold	na	na	DTWW01000047.1	<>	na	Primary Assembly	1389	na
k99_1287895	unplaced-scaffold	na	na	DTWW01000048.1	<>	na	Primary Assembly	1093	na
k99_1288942	unplaced-scaffold	na	na	DTWW01000049.1	<>	na	Primary Assembly	1802	na
k99_129007	unplaced-scaffold	na	na	DTWW01000050.1	<>	na	Primary Assembly	1747	na
k99_1298053	unplaced-scaffold	na	na	DTWW01000051.1	<>	na	Primary Assembly	1138	na
k99_1298074	unplaced-scaffold	na	na	DTWW01000052.1	<>	na	Primary Assembly	1606	na
k99_130110	unplaced-scaffold	na	na	DTWW01000053.1	<>	na	Primary Assembly	1075	na
k99_1312324	unplaced-scaffold	na	na	DTWW01000054.1	<>	na	Primary Assembly	1138	na
k99_1317796	unplaced-scaffold	na	na	DTWW01000055.1	<>	na	Primary Assembly	1200	na
k99_1335325	unplaced-scaffold	na	na	DTWW01000056.1	<>	na	Primary Assembly	1563	na
k99_1350076	unplaced-scaffold	na	na	DTWW01000057.1	<>	na	Primary Assembly	1099	na
k99_1354869	unplaced-scaffold	na	na	DTWW01000058.1	<>	na	Primary Assembly	1309	na
k99_1356302	unplaced-scaffold	na	na	DTWW01000059.1	<>	na	Primary Assembly	1564	na
k99_1364608	unplaced-scaffold	na	na	DTWW01000060.1	<>	na	Primary Assembly	1203	na
k99_1368023	unplaced-scaffold	na	na	DTWW01000061.1	<>	na	Primary Assembly	1176	na
k99_1370778	unplaced-scaffold	na	na	DTWW01000062.1	<>	na	Primary Assembly	1672	na
k99_1370885	unplaced-scaffold	na	na	DTWW01000063.1	<>	na	Primary Assembly	1540	na
k99_1389513	unplaced-scaffold	na	na	DTWW01000064.1	<>	na	Primary Assembly	1412	na
k99_1390832	unplaced-scaffold	na	na	DTWW01000065.1	<>	na	Primary Assembly	1320	na
k99_1390932	unplaced-scaffold	na	na	DTWW01000066.1	<>	na	Primary Assembly	1170	na
