genome_id	genome_name	accession	annotation	feature_type	patric_id	refseq_locus_tag	alt_locus_tag	uniprotkb_accession	start	end	strand	na_length	gene	product	figfam_id	plfam_id	pgfam_id	go	ec	pathway
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.1				77	262	-	186		hypothetical protein		PLF_2251_00014935	PGF_04944356			
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.2				307	969	+	663		hypothetical protein		PLF_2251_00016457	PGF_01830778			
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.3				1047	2318	-	1272		Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	FIG00000359	PLF_2251_00000326	PGF_06522349	GO:0050566|asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity;GO:0050567|glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	6.3.5.6|Asparaginyl-tRNA synthase (glutamine-hydrolyzing);6.3.5.7|Glutaminyl-tRNA synthase (glutamine-hydrolyzing)	00970|Aminoacyl-tRNA biosynthesis
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.4				2319	2597	-	279		Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)	FIG00000432	PLF_2251_00000711	PGF_07836795	GO:0050566|asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity;GO:0050567|glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	6.3.5.6|Asparaginyl-tRNA synthase (glutamine-hydrolyzing);6.3.5.7|Glutaminyl-tRNA synthase (glutamine-hydrolyzing)	00970|Aminoacyl-tRNA biosynthesis
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.5				2817	3815	+	999		Transcription initiation factor B	FIG00002138	PLF_2251_00000003	PGF_05723552			
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.6				3937	4419	+	483		hypothetical protein	FIG01741623	PLF_2251_00001132	PGF_00314268			
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.7				4459	5550	-	1092		Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	FIG00035175	PLF_2251_00001326	PGF_05423582	GO:0004066|asparagine synthase (glutamine-hydrolyzing) activity	6.3.5.4|Asparagine synthase (glutamine-hydrolyzing)	00250|Alanine, aspartate and glutamate metabolism;00910|Nitrogen metabolism
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.8				5550	6233	-	684		hypothetical protein	FIG00638284	PLF_2251_00001139	PGF_00084104			
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.9				6325	6444	+	120		hypothetical protein		PLF_2251_00011268	PGF_01829591			
1526048.3	Haloferax sp. Q22	LOEP01000001	PATRIC	CDS	fig|1526048.3.peg.10				6434	6961	+	528		hypothetical protein	FIG00638284	PLF_2251_00015150	PGF_01830838			
