genome_id	genome_name	patric_id	refseq_locus_tag	gene	product	role_name	superclass	class	subclass	subsystem_name
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.rna.44	HT576_14100		LSU rRNA ## 23S rRNA, large subunit ribosomal RNA	LSU rRNA	STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in protein synthesis
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.rna.23	HT576_06220		SSU rRNA ## 16S rRNA, small subunit ribosomal RNA	SSU rRNA	STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Resistance to antibiotics and toxic compounds	Antibiotic targets in protein synthesis
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.1	HT576_00005		Excinuclease ABC subunit A	Excinuclease ABC subunit A	DNA PROCESSING	DNA Processing	DNA repair	DNA repair, UvrABC system
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.13	HT576_00065		Eukaryotic translation initiation factor 5A	Eukaryotic translation initiation factor 5A	PROTEIN PROCESSING	Protein Fate (folding, modification, targeting, degradation)	Protein processing and modification	Modification of eukaryotic initiation factor 5A
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.13	HT576_00065		Eukaryotic translation initiation factor 5A	Eukaryotic translation initiation factor 5A	PROTEIN PROCESSING	Protein Synthesis	Translation	Translation elongation factors, eukaryotic and archaeal
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.13	HT576_00065		Eukaryotic translation initiation factor 5A	Eukaryotic translation initiation factor 5A	PROTEIN PROCESSING	Protein Synthesis	Translation	Translation initiation factors, eukaryotic and archaeal
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.14	HT576_00070	speB	Agmatinase (EC 3.5.3.11)	Agmatinase (EC 3.5.3.11)	METABOLISM	Amino Acids and Derivatives	Arginine; urea cycle, creatine, polyamines	Polyamine Metabolism
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.20	HT576_00095		Deoxyhypusine synthase (EC 2.5.1.46)	Deoxyhypusine synthase (EC 2.5.1.46)	PROTEIN PROCESSING	Protein Fate (folding, modification, targeting, degradation)	Protein processing and modification	Modification of eukaryotic initiation factor 5A
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.30	HT576_00135		beta-galactosidase (EC 3.2.1.23)	beta-galactosidase (EC 3.2.1.23)	METABOLISM	Carbohydrates	Di- and oligosaccharides	Lactose utilization
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.37	HT576_00165		Trk potassium uptake system protein TrkH	Trk potassium uptake system protein TrkH	STRESS RESPONSE, DEFENSE, VIRULENCE	Stress Response, Defense and Virulence	Stress Response: Osmotic stress	Hyperosmotic potassium uptake
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.37	HT576_00165		Trk potassium uptake system protein TrkH	Trk potassium uptake system protein TrkH	MEMBRANE TRANSPORT	Membrane Transport	Cation transporters	Trk and Ktr potassium uptake systems
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.58	HT576_00250	hisH	Imidazole glycerol phosphate synthase amidotransferase subunit HisH	Imidazole glycerol phosphate synthase amidotransferase subunit HisH	METABOLISM	Amino Acids and Derivatives	Histidine Metabolism	Histidine Biosynthesis -- gjo
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.79	HT576_00345		Eukaryotic peptide chain release factor subunit 1	Eukaryotic peptide chain release factor subunit 1	PROTEIN PROCESSING	Protein Synthesis	Translation	Translation elongation factors, eukaryotic and archaeal
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.88	HT576_00380		NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)	ENERGY	Respiration	Electron donating reactions	Respiratory Complex I
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.92	HT576_00400	trpB	Tryptophan synthase beta chain (EC 4.2.1.20)	Tryptophan synthase beta chain (EC 4.2.1.20)	METABOLISM	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Tryptophan synthesis
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.99	HT576_00430		Glycerol-1-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.261)	Glycerol-1-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.261)	MISCELLANEOUS	Miscellaneous		Nickel-requiring
2496101.3	Haloterrigena sp. SYSU A121-1	fig|2496101.3.peg.106	HT576_00465		Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type	Prolyl-tRNA synthetase (EC 6.1.1.15), archaeal/eukaryal type	PROTEIN PROCESSING	Protein Synthesis	Aminoacyl-tRNA-synthetases	tRNA aminoacylation, Pro
