target_name	t_accession	tlen	query_name	q_accession	qlen	fullseq_evalue	fullseq_score	fullseq_bias	num_of_domain	total_hit_domains	c-evalue	i-evalue	hmm_score	hmm_bias	hmm_coord_from	hmm_coord_to	ali_coord_from	ali_coord_to	env_coord_from	env_coord_to	acc	description_of_target	aln_length	qcov
CP010426.1_10196	-	53	10196_CP010426.1_10196	-	53	1.3e-37	130.1	3.8	1	1	3e-42	1.4e-37	130	3.8	1	53	1	53	1	53	1	[533621 - 533779] Archaeon GW2011_AR20 chromosome, complete genome	52	0.9811320754716981
CP058579_203	-	47	10196_CP010426.1_10196	-	53	1.9e-29	103.9	1.1	1	1	4.2e-34	2e-29	103.9	1.1	9	53	2	47	1	47	0.98	[16522 - 16662] [Halobonum sp. NJ-3-1 | 2743089.3]	45	0.8490566037735849
CP010426.1_11192	-	111	11192_CP010426.1_11192	-	123	1.6e-42	146.5	1.4	1	1	3.6e-47	1.7e-42	146.4	1.4	9	123	1	111	1	111	0.96	[590584 - 590916] Archaeon GW2011_AR20 chromosome, complete genome	110	0.8943089430894309
LKMP01000007.1_811	-	117	11192_CP010426.1_11192	-	123	8e-29	102.2	0.1	1	1	1.9e-33	8.9e-29	102.1	0.1	3	109	14	116	12	117	0.94	[42193 - 42543] Nanohaloarchaea archaeon B1-Br10_U2g21 LB-BRINE-C121, whole genome shotgun sequence	102	0.8292682926829268
Ga0207715_100102_297	-	421	11406_CP010426.1_11406	-	394	2.1e-139	467.5	0	1	1	1.2e-143	2.3e-139	467.3	0	1	393	25	420	25	421	0.98	[37411 - 38673]	395	1.00253807106599
CP010426.1_11406	-	398	11406_CP010426.1_11406	-	394	3.8e-136	456.7	0	1	1	2.2e-140	4.3e-136	456.6	0	3	393	1	397	1	398	0.98	[601968 - 603161] Archaeon GW2011_AR20 chromosome, complete genome	396	1.0050761421319796
VEPM01000029.1_179	-	122	12736_CP010426.1_12736	-	112	1.2e-41	143.5	3	1	1	6.5e-46	1.6e-41	143.2	3	1	100	24	122	24	122	0.99	[9291 - 9656] Candidatus Methanoperedens sp. isolate MnB_20 Mn.Bin2_29, whole genome shotgun sequence	98	0.875
CP010426.1_12736	-	98	12736_CP010426.1_12736	-	112	4.9e-33	115.8	9.4	1	1	2.2e-37	5.3e-33	115.7	9.4	5	98	2	95	1	98	0.97	[669569 - 669862] Archaeon GW2011_AR20 chromosome, complete genome	93	0.8303571428571429
CP010426.1_16193	-	174	16193_CP010426.1_16193	-	208	1.3e-49	171	16	1	1	4.5e-54	1.5e-49	170.9	16	23	198	1	172	1	174	0.97	[815341 - 814820] (REVERSE SENSE) Archaeon GW2011_AR20 chromosome, complete genome	171	0.8221153846153846
Ga0172379_10000243_612	-	208	16193_CP010426.1_16193	-	208	1.5e-48	167.6	24.9	1	1	5.3e-53	1.7e-48	167.4	24.9	7	198	11	199	1	207	0.92	[39010 - 39633]	188	0.9038461538461539
