Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300005573 assembled Ga0078972_10065031	CDS	Ga0078972_10065031	hypothetical protein	3	1898	-	
3300005573 assembled Ga0078972_100650310	CDS	Ga0078972_100650310	hypothetical protein	6895	7926	-	
3300005573 assembled Ga0078972_100650311	CDS	Ga0078972_100650311	hypothetical protein	8008	8598	-	
3300005573 assembled Ga0078972_100650312	CDS	Ga0078972_100650312	hypothetical protein	8609	9298	-	
3300005573 assembled Ga0078972_100650313	CDS	Ga0078972_100650313	hypothetical protein	9511	9744	-	
3300005573 assembled Ga0078972_100650314	CDS	Ga0078972_100650314	Putative ATPase subunit of terminase (gpP-like)	9790	10083	-	
3300005573 assembled Ga0078972_100650315	CDS	Ga0078972_100650315	hypothetical protein	10080	10379	-	
3300005573 assembled Ga0078972_100650316	CDS	Ga0078972_100650316	hypothetical protein	10647	10946	-	
3300005573 assembled Ga0078972_100650317	CDS	Ga0078972_100650317	hypothetical protein	11010	11324	-	
3300005573 assembled Ga0078972_100650318	CDS	Ga0078972_100650318	hypothetical protein	11420	12067	-	
3300005573 assembled Ga0078972_100650319	CDS	Ga0078972_100650319	Transposase and inactivated derivatives	12409	13572	-	
3300005573 assembled Ga0078972_10065032	CDS	Ga0078972_10065032	hypothetical protein	2048	2182	-	
3300005573 assembled Ga0078972_100650320	CDS	Ga0078972_100650320	Transposase and inactivated derivatives	13631	14032	+	
3300005573 assembled Ga0078972_100650321	CDS	Ga0078972_100650321	hypothetical protein	14061	15827	+	
3300005573 assembled Ga0078972_100650322	CDS	Ga0078972_100650322	hypothetical protein	16132	16665	+	
3300005573 assembled Ga0078972_100650323	CDS	Ga0078972_100650323	hypothetical protein	16642	16809	-	
3300005573 assembled Ga0078972_100650324	CDS	Ga0078972_100650324	hypothetical protein	17111	17512	+	
3300005573 assembled Ga0078972_100650325	CDS	Ga0078972_100650325	hypothetical protein	17524	17745	+	
3300005573 assembled Ga0078972_100650326	CDS	Ga0078972_100650326	hypothetical protein	17773	18063	+	
3300005573 assembled Ga0078972_100650327	CDS	Ga0078972_100650327	hypothetical protein	18056	18520	+	
3300005573 assembled Ga0078972_100650328	CDS	Ga0078972_100650328	hypothetical protein	18517	19626	+	
3300005573 assembled Ga0078972_100650329	CDS	Ga0078972_100650329	hypothetical protein	19631	20245	+	
3300005573 assembled Ga0078972_10065033	CDS	Ga0078972_10065033	MarR family	2175	3137	-	
3300005573 assembled Ga0078972_100650330	CDS	Ga0078972_100650330	hypothetical protein	20255	20884	+	
3300005573 assembled Ga0078972_100650331	CDS	Ga0078972_100650331	hypothetical protein	20935	21048	+	
3300005573 assembled Ga0078972_100650332	CDS	Ga0078972_100650332	hypothetical protein	21020	21418	+	
3300005573 assembled Ga0078972_100650333	CDS	Ga0078972_100650333	hypothetical protein	21357	21746	+	
3300005573 assembled Ga0078972_100650334	CDS	Ga0078972_100650334	hypothetical protein	21733	22398	+	
3300005573 assembled Ga0078972_100650335	CDS	Ga0078972_100650335	hypothetical protein	22391	22576	+	
3300005573 assembled Ga0078972_100650336	CDS	Ga0078972_100650336	hypothetical protein	22766	22927	-	
3300005573 assembled Ga0078972_100650337	CDS	Ga0078972_100650337	hypothetical protein	23026	23559	-	
3300005573 assembled Ga0078972_100650338	CDS	Ga0078972_100650338	hypothetical protein	23560	25218	-	
3300005573 assembled Ga0078972_100650339	CDS	Ga0078972_100650339	hypothetical protein	25284	27587	-	
3300005573 assembled Ga0078972_10065034	CDS	Ga0078972_10065034	hypothetical protein	3297	3482	-	
3300005573 assembled Ga0078972_10065035	CDS	Ga0078972_10065035	hypothetical protein	3507	4319	-	
3300005573 assembled Ga0078972_10065036	CDS	Ga0078972_10065036	hypothetical protein	4323	4496	-	
3300005573 assembled Ga0078972_10065037	CDS	Ga0078972_10065037	hypothetical protein	4509	4649	-	
3300005573 assembled Ga0078972_10065038	CDS	Ga0078972_10065038	hypothetical protein	4646	6772	-	
3300005573 assembled Ga0078972_10065039	CDS	Ga0078972_10065039	hypothetical protein	6771	6878	+	
