new_tip_label	newlab	Assembly source
3300000868-JGI12330J12834-1000008-299010-8 (Halobacteria)	1	MAG/assembled metagenome
3300014206-Ga0172377-10000119-870930-129 (Methanomicrobia)	2	MAG/assembled metagenome
3300014208-Ga0172379-10001592-871560-40 (Methanomicrobia)	3	MAG/assembled metagenome
3300014613-Ga0180008-1001212-875221-12	4	MAG/assembled metagenome
3300014208-Ga0172379-10000243-871512-158 (Methanomicrobia?)	5	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06785_2 (TBA)	6	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold17623_2 (TBA)	7	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold134102_1 (1 ORF scaffold)	8	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold29013_2 (TBA)	9	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold72169_1 (1 ORF scaffold)	10	MAG/assembled metagenome
001179505.1	11	MAG/assembled metagenome
000189635.1	12	MAG/assembled metagenome
000313135.1	13	MAG/assembled metagenome
HAP2_Chlamy	14	MAG/assembled metagenome
003719155.1	15	MAG/assembled metagenome
000190715.1	16	MAG/assembled metagenome
Ace Lake-Antarctica -1402-Ga0222697_1002427_6 (TBA)	17	MAG/assembled metagenome
RLG94066.1 (Candidatus Bathyarchaeota archaeon)	18	MAG/assembled metagenome
MGYP000565992219	19	MAG/assembled metagenome
SAMEA2619974_10776_4	20	MAG/assembled metagenome
MGYP000347782300	21	MAG/assembled metagenome
RKX41251.1 (**Thermotogae bacterium)	22	MAG/assembled metagenome
mc35926358|Representative=scaffold16196_4/1624 (TBA)	23	MAG/assembled metagenome
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00511_6 (TBA)	24	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold83478_1 (1 ORF scaffold)	25	MAG/assembled metagenome
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold24857_2 (TBA)	26	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold01114_5 (TBA)	27	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02562_2 (TBA)	28	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold11370_2 (TBA)	29	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold18285_3 (TBA)	30	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold82302_1 (1 ORF scaffold)	31	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold07707_5 (TBA)	32	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00557_40 (TBA)	33	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold36732_2 (1 ORF scaffold)	34	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold55385_1 (1 ORF scaffold)	35	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold34113_4 (1 ORF scaffold)	36	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold26691_1 (1 ORF scaffold)	37	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold70733_1 (1 ORF scaffold)	38	MAG/assembled metagenome
MGYP000642661316	39	MAG/assembled metagenome
MGYP000359581082	40	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00851_7 (TBA)	41	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold89608_1 (1 ORF scaffold)	42	MAG/assembled metagenome
MGYP000672152970	43	MAG/assembled metagenome
RKZ11204.1 (Candidatus Fermentibacteria bacterium)	44	MAG/assembled metagenome
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold03294_14 (TBA)	45	MAG/assembled metagenome
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold12674_2 (TBA)	46	MAG/assembled metagenome
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold61386_1 (1 ORF scaffold)	47	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06919_8 (TBA)	48	PCG archaea
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold15402_2 (TBA)	49	PCG archaea
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold06212_4 (TBA)	50	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold28048_2 (TBA)	51	MAG/assembled metagenome
PlaIllAssembly_1097288.scaffolds.fasta_scaffold00281_9 (TBA)	52	MAG/assembled metagenome
NOZ47386.1 (Chlorobi bacterium)	53	MAG/assembled metagenome
mc1330463358|Representative=gi|984778642|gb|LFUF01005182.1|_1/1417 (TBA)	54	MAG/assembled metagenome
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold19757_2 (TBA)	55	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02754_4 (TBA)	56	MAG/assembled metagenome
MGYP000692789748	57	MAG/assembled metagenome
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold00694_11 (TBA)	58	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold13455_2 (TBA)	59	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00827_26 (TBA)	60	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold20657_2 (TBA)	61	MAG/assembled metagenome
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold10520_11 (TBA)	62	MAG/assembled metagenome
MGYP000335988725	63	MAG/assembled metagenome
HID09282.1 (Candidatus Micrarchaeota archaeon)	64	MAG/assembled metagenome
WP_179268568.1 (Halobonum sp. NJ-3-1)	65	MAG/assembled metagenome
WP_163487151.1 (Halogeometricum borinquense strain wsp4)	66	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold00713_2 (TBA)	67	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold31711_5 (1 ORF scaffold)	68	MAG/assembled metagenome
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00069_38 (TBA)	69	MAG/assembled metagenome
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold50355_1 (1 ORF scaffold)	70	MAG/assembled metagenome
MGYP000681001372	71	MAG/assembled metagenome
MGYP000179698888-RLG58774.1 (Candidatus Geothermarchaeota B85_G16)	72	MAG/assembled metagenome
RLI53188.1 (Candidatus Thorarchaeota archaeon)	73	MAG/assembled metagenome
HHR27186.1 (Candidatus Bathyarchaeota archaeon)	74	MAG/assembled metagenome
mc1328965482|Representative=gi|998585003|gb|LFCJ01001378.1|_8/1661 (TBA)	75	MAG/assembled metagenome
LKMP01000007_1 (Nanohaloarchaea archaeon B1-Br10_U2g21)	76	MAG/assembled metagenome
MGYP000598426430-1548 (Archaea;Euryarchaeota;Halobacteria;Halobacteriales)	77	MAG/assembled metagenome
WP_007110832.1 - WP_144240185.1 (Natrinema altunense (AJ2))	78	MAG/assembled metagenome
ELY83688.1 (JCM12890) (Natrinema altunense JCM12890))	79	MAG/assembled metagenome
lcl|NZ_CP071597.1_prot_WP_207587115.1_2894 (Halovivax sp. KZCA124)	80	MAG/assembled metagenome
MGYP000005856144	81	MAG/assembled metagenome
MGYP000141506420	82	MAG/assembled metagenome
