# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1	457	+							DRN86_00005	457		partial
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1	457	+	RLG61364.1			hypothetical protein			DRN86_00005	457	151	partial
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	457	654	+							DRN86_00010	198		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	457	654	+	RLG61365.1			hypothetical protein			DRN86_00010	198	65	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	666	875	+							DRN86_00015	210		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	666	875	+	RLG61366.1			hypothetical protein			DRN86_00015	210	69	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	957	1145	+							DRN86_00020	189		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	957	1145	+	RLG61367.1			hypothetical protein			DRN86_00020	189	62	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1161	1556	+							DRN86_00025	396		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1161	1556	+	RLG61368.1			hypothetical protein			DRN86_00025	396	131	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1599	1850	+							DRN86_00030	252		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1599	1850	+	RLG61369.1			hypothetical protein			DRN86_00030	252	83	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1871	2176	-							DRN86_00035	306		
CDS	with_protein	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	1871	2176	-	RLG61370.1			hypothetical protein			DRN86_00035	306	101	
gene	protein_coding	GCA_003661485.1	Primary Assembly	unplaced scaffold		QMWF01000001.1	2290	2610	-							DRN86_00040	321		
